Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Month,Total Compensation,Satisfaction
013871-2023-CMPL,2023-07-24,311,311-15255827,Storage Warehouse,Unlicensed,BA-1603588-2023,Locals let,07/24/2023,No Jurisdiction,,0.0,0.0,Complete Address,410,W 48TH ST,,,,,NEW YORK,NY,10036,Manhattan,104.0,3.0,1080941.0,1010570040.0,MN15,3000.0,127.0,40.76251870601764,-73.99055666584103,2023-07,0.0,0
013872-2023-CMPL,2023-07-24,311,311-15256399,Megastore,Damaged Goods - D01,BA-1603589-2023,lot less,07/24/2023,Referred,Other,0.0,0.0,Complete Address,44,COURT ST,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3002242.0,3002550001.0,BK09,1002.0,9.0,40.6925905861397,-73.9909632355784,2023-07,0.0,0
013873-2023-CMPL,2023-07-24,311,311-15256528,Misc Non-Food Retail,Overcharge,BA-1603590-2023,104 smoke shop,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,10418,NORTHERN BLVD,,,,,CORONA,NY,11368,Queens,403.0,21.0,4042655.0,4017190008.0,QN26,3000.0,379.0,40.757693584208525,-73.86436652866769,2023-07,0.0,0
013874-2023-CMPL,2023-07-24,311,311-15256527,Tow Truck Company,Overcharge,BA-1295662-2022,J&C TOWING,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,9,WOODHULL ST,,,,,BROOKLYN,NY,11231,Brooklyn,306.0,39.0,3000000.0,3003570006.0,BK33,3004.0,51.0,40.68182585426352,-74.00469432081661,2023-07,0.0,0
013875-2023-CMPL,2023-07-24,311,311-15256593,Auto Rental,Non-Delivery of Goods - N01,BA-1602692-2023,HERTZ,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,157,W 83RD ST,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1032112.0,1012140010.0,MN12,4000.0,169.0,40.78520167494055,-73.97515585869253,2023-07,0.0,0
013876-2023-CMPL,2023-07-24,311,311-15256822,Hotel/Motel,Exchange/Refund/Return,BA-1603591-2023,Untitled at 3 Freeman,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,3,FREEMAN ALY,,,,,NEW YORK,NY,10002,Manhattan,103.0,1.0,1089461.0,1004260005.0,MN27,3002.0,3601.0,40.72187183680296,-73.99251054852492,2023-07,0.0,0
013877-2023-CMPL,2023-07-24,311,311-15257136,Stoop Line Stand,Sidewalk Blocked,BA-1603592-2023,Jamrock Jerk,07/24/2023,Information Provided,,0.0,0.0,Cross Street (Intersection),,109 AVENUE,139 STREET,,,,Unknown,NY,11435,Queens,412.0,28.0,,,,,194.0,40.6875071490867,-73.8066581162885,2023-07,0.0,0
013878-2023-CMPL,2023-07-24,311,311-15257097,Misc Non-Food Retail,Non-Delivery of Goods - N01,BA-1603593-2023,Perfect Threading Studio,07/24/2023,Referred,NYC Department of Health & Mental Hygiene,0.0,0.0,Complete Address,546,COLUMBUS AVE,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1032201.0,1012170035.0,MN12,1000.0,173.0,40.78676818941059,-73.97198107143204,2023-07,0.0,0
013880-2023-CMPL,2023-07-24,311,311-15257514,Misc Non-Food Retail,Exchange/Refund/Return,BA-1432684-2022,My Unique Thrift Store,08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,218,W 234TH ST,,,,,BRONX,NY,10463,Bronx,208.0,11.0,2083561.0,2057550041.0,BX29,3000.0,287.0,40.88196710936535,-73.90334290547828,2023-07,0.0,0
013881-2023-CMPL,2023-07-24,311,311-15257072,Hotel/Motel,Exchange/Refund/Return,BA-1603594-2023,"Untitled, 3 Freeman Alley",08/23/2023,Requested Information Not Provided,,0.0,0.0,Complete Address,3,FREEMAN ALY,,,,,NEW YORK,NY,10002,Manhattan,103.0,1.0,1089461.0,1004260005.0,MN27,3002.0,3601.0,40.72187183680296,-73.99251054852492,2023-07,0.0,0
